,EventTemplate,Count
f51f989f5cf68ba1fa92e99b3e409394,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=<*> ActivityRecord<*>}}}, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>",1
a7ec7d1e08608196054a9a93914661b1,"acquire lock=<*>, flags=<*>, tag=""View Lock"", name=<*>, ws=<*>, uid=<*>, pid=<*>",1
f5c17cd4ce848fff7542e87d5348171b,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto<*>,adj=<*>.0userId=<*>",199
551bd1ed487580c170eb7b87d0053682,Skipping AppWindowToken{<*> token=<*>{<*> ActivityRecord<*> -- going to hide,4
06709de9774843d672b12795f1e135dc,visible is system.<*>.<*>,2
d163adaf126d2cd9c3c117e4861d39b9,mVisiblity.getValue is <*>,5
32070f506c18e43d09c64f5b48b174aa,visible is system.<*> gt <*>,1
ea05499c8153530122b16e0b3312e47d,visible is system.message.<*> gt <*>,1
a66a12516a0206c8303db2eb1dea370d,visible is system.owner<*>.<*>,1
28e99606e5c8421ec5a58595df77e9f0,"release:lock=<*>, flg=<*>, tag=""View <*>"", name=<*> ws=<*>, uid=<*>, pid=<*>",1
5557c0377831f930cea0d00ba72a93ad,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation<*>",52
bd0edbe08a871e103b3046cf1989d091,updateDimmedActivatedHideSensitive overlap:<*>,65
7bf44fc65efc56aab54501bfb6871035,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,81
d740dd252a98bbd8fb69f5c1d36ae9d7,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>"", ws=WorkSource<*>}, uid=<*>, pid=<*>",8
7220246f5b1590c9e73ebe67bd106677,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",200
3c2ee2af00ad8d3ab4589680591d5619,cancelAutohide,15
e770cf575ccc978a673f41e50b9fbcbd,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
d994f8cfbd5b4199a29c7a343ac7627d,Destroying surface Surface(name=Sur<*>) called by <*>Destroy<*> of <*> of <*>>,1
49c79766b261480bccdb1b8179af55d3,Destroying surface Surface(name=<*>) called by <*>,24
342f1ddafe1e9f4e4176b62dd0fa02ee,"release:lock=<*>, flg=<*>, tag=""WindowManager"", name=<*>"", ws=<*>}, uid=<*>, pid=<*>",1
e9aa76e58bd6a2379f9719531122ed16,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
748b22717f9eaae3615ea760b2ac86e3,"orientation change is complete, call stopFreezingDisplayLocked",1
c1a1b7b035f4394bd5d3b2d2d0aea1b0,Screen frozen for +<*> due to Window{<*>Det<*>},1
4bea79c0cd32f4ce2529043d5c2fc79a,startAnimation begin,1
d8791e4b1ddd10ea4ce19d952b3e0718,startAnimation end,1
b0b4bdefc59416cc00fdb1b3498f2dd1,"release:lock=<*>, flg=<*>, tag=""SCREEN_FROZEN"", name=<*>"", ws=<*>, uid=<*>, pid=<*>",1
8df2de0d17a10f35d8327c08766b936c,remove(PendingIntent{<*>: PendingIntentRecord{<*>Intent}}) changed bounds; rebatching,1
dff63344d10bea1a551e79ad9479c815,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",2
e9fc92384d21dfacae9813fc05c61147,"Application requested orientation <*>, got rotation <*> which has compatible metrics",2
eda277148f7e51793b3ff7d972cc895f,"acquire lock=<*>, flags=<*>, tag=""R<*>_<*>_<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",5
78791997c30c73775f925ffb759bdc1b,shouldBlockLocation running ...,37
ccef7ebb479b66a53f5da5b5cecd1850,shouldBlockLocation ret:<*>,37
c22c4fc5557860cadcc3184ef43b6739,getNeighboringCellInfo calling app is <*>,5
9ff96e4137fdcf8b6dd98bba41cf34e4,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*> ws=<*>, uid=<*>, pid=<*>",4
4cdd97bf2105f02a349ca8f913f3662c,"release:lock=<*>, flg=<*>, tag=""AudioMix"", name=audios<*>"", ws=<*>, uid=<*>, pid=<*>",6
bcab37459eacd861ecd8f51b844fd99c,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
34b29107dab1b3ba66428aaa71868765,HBM brightnessIn =<*>,85
b7ebad24d6e26da302f9652a11ed3eee,HBM brightnessOut =<*>,85
1b7a0525c5ca284ce3ce970f74e353c0,"Animating brightness: target=<*>, rate=<*>",85
482e1e93655bee28a084bab9511828f2,suspendAutohide,23
c2a5cfbfb7a105a67b1a7f786d051463,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down <*> canceled <*>,7
4f0e8a7358c8862cdc3ab313d5260dc8,"interceptKeyBeforeQueueing: key <*> , result : <*>",14
8d7445f87678e9063864a7d08a9ba52f,resumeSuspendedAutohide,10
469d24ed9ce62a4a737e705b02a7a70c,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down <*>,7
eeec1449d7906288528d617e3107dc5e,querySoundEffectsEnabled...,17
600c5d174854b53c7a262062ebdbcea7,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=WorkSource<*>}, uid=<*>, pid=<*>",8
86d02085c311096345143a587b54e824,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
6bcb2a05747b96fae5b5112b40dda7d5,Bad activity token: <*>Binder<*>,1
a5ee7129dde33f0b484dc9ad45cefda2,<*>.ClassCastException: <*>Binder<*> cannot be cast to <*>,1
ad97c519f79965e78eb06d3dba6ee48e,"onTouchEvent::<*>, x=<*>, y=<*>",2
ade15b9a0916d9d43dfefd3ca9d8b622,schedulePeek,1
33c7b245fcf4d0ffdf1e414925fd7441,getRingtonePlayer...,2
dcd5b8a8509b00da79766a7c642b3e8a,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock <*> quick_settings >,3
348ecffa18228adb288874889baef3e5,"updateLightsLocked,mInCall =<*>,mScreenOn = <*>,ledNotification == <*>",6
942f09c275cbb8e4e468bb45370f127f,"updateLightsLocked,turn off notificationLight",6
b87bc57d5cc64ba2e1fcad0e5846eeb3,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen<*>",13
ab5ae1b3341dcd08eba9902c00b05ee1,"state.clipTopAmount:<*>, i:<*>",12
f02115d051cdec956ed1757ef6af31b6,onExpandingStarted,2
cd7563b47deeb178cb1c8d48a1c4ae5d,onTrackingStarted,1
d45406edce8b7366890516148547e25c,"state.clipTopAmount<*>, i:<*>",1
4077d60641bdc92345248cdded26812f,cancelPeek: <*>,20
5eb4a60acd20e757297f86a25ef580f1,"flingToHeight: vel=<*>, expand=<*>, target=<*>, collapseSpeedUpFactor=<*>, expandBecauseOfFalsing=<*>",2
df0f049e681a4103e2c0282194e5eb04,onTrackingStopped: <*>,1
b5721111138b9c9d7c6b217c895d512c,onExpandingFinished,2
6a6cd827f0b0e1e404ee5936446efe22,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",13
b47b32a1dbc29ff82d6b3e09e83ba98c,Sending non-protected broadcast <*> from <*>,2
dac08128003e86dde193a859ee4f8513,logNotificationVisibilityChanges runInThread start,6
fbd5de68c52f0c8dd2efd2cfbacca937,onNotificationVisibilityChanged called,6
eda14053342798be4ab74e4827dc1f2f,logNotificationVisibilityChanges runInThread over,6
14b3b5fccef0d6087a2f3ad62d7b8822,isSimPinSecure mSimDatas is <*> or <*>,1
2f983de0bad7e825f9c0aa3da8d6704b,registerCallback not in UI.,3
83d4dab2eadd5ba0691f1f17ca2c51e2,android<*>.<*>RuntimeException: Must execute in UI,3
06c94d220fad3ec18b713d74eb578f13,*** register callback for <*>guard<*>,1
3ad5a38d15bfcf563d38bd7dfacc3127,*** unregister callback for null,1
01ab2968d090b5f9087f7f42033de437,[PhoneIntfMgr] getDataEnabled: subId=<*> phoneId=<*>,1
a9acb09f428fe50b7ef2cfd7f8934cc4,[PhoneIntfMgr] getDataEnabled: subId=<*> retVal=<*>,1
a39a2ddc1c11358e80d378dfab26c799,"onInterceptTouchEvent MotionEvent { action=ACTION_DOWN, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>, y[<*>]=<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=<*>",2
809103977c1d092bac17817cdf1aba7d,"onInterceptTouchEvent MotionEvent { action=ACTION_UP, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>, y[<*>]=<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=<*>",2
db28c715a0cc2bd5d7a8f619ecb93c12,playSoundEffect effectType: <*>,10
c20f0fc4dc8d2dd74e25f8289edfcecf,"animateCollapsePanels:flags=<*>, force=<*>, delayed=<*>, mExpandedVisible=<*>",8
acb3b609244f8dd3843276adf1436fd9,START u<*> {act=<*>INACTIVITY flg=<*> cmp=<*> (has extras)} from uid <*> on display <*>,1
1a7823e7ffa0051cad0db3f8cc10bc9b,"ActivityRecord info: ActivityInfo{<*>}, euid: <*>",4
06c4f1694761a98329a8f7b0a2634976,onNotificationClick called,2
ef9087998785c5c4ddd9b27649cecc11,"cancelNotification,index:<*>",3
beda30e44ac49913ff56598b38c16ba9,"cancelNotification,cancelNotificationLocked,callingUid = <*>,callingPid = <*>",2
8a999a7a3a1ac871a998ba170d5383e2,"cancelNotificationLocked called,tell the app,reason = <*>",2
dbdc6dc87985f8add6246f54a151e2a5,cancelNotificationLocked:<*>,2
14be3b8af7008a0e0818392c2c69c8ec,"cancelNotificationLocked,remove =<*>",2
236d8210b94ae326b9936cd3e5579128,applyOptionsLocked: Unknown animationType=<*>,2
4b682a1b97fcfeadeaec8f72e8176df2,"Taking screenshot from Surface with crop:[Rect(<*>, <*> - <*>, <*>)], width<*>], height<*>], minLayer<*>], maxLayer<*>], inRotation<*>], rot<*>]",4
ba9aa37bfcde67c670129b054710b759,removeNotification:<*>,2
d94e53a685cbf071c2f22f379a14585a,"updateNotificationShade: total=<*>, active=<*>",13
e330da669f72eb5143ea9c781dd45cfb,The change in focus caused us to need to do a layout <*>,6
681e150ef5a878b576d571bdf557aefa,The change in focus caused us to need to do a layout end,6
dce3a5ed17d3b88dfd53f0b1bae54b37,setLightsOn(<*>),181
99e75217ce1512b1869bc984c616f2c5,removeNotificationChildren,12
d8b904635c88cc6455c840be36132d0f,"Skipping, withExcluded: <*>, tr.intent:Intent { flg=<*> cmp=<*> bnds<*> }",14
843f49b16adfbf6c0edabadcdfd915db,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> flg=<*> cmp=<*> (has extras) }",14
681e2f7b98231d595207ebfd92b0b2da,"Skipping, withExcluded: <*>, tr.intent:Intent { flg=<*> cmp=<*> (has extras) }",21
ddd0cad0ca1d2441c952ee32324a5cf9,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*>CHOOSE_SUB dat=<*> flg=<*> cmp=<*> (has extras) }",7
bec84dead191578de8777dc6361a74d3,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> dat=<*> typ=<*> flg=<*> cmp=<*> (has extras) }",7
a41f2e6ba6cbe89a56d1717f86b62a3e,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",14
b44dafa8fc9aac23bd4833a8d630dbf7,getRecentTasks: topActivity=ComponentInfo<*>},10
f5ffecdb9abdb169f95cea6df6ead384,"cancelNotificationWithTag pid <*>,uid = <*>,tag = <*>,pkg =<*>,id =<*>",20
d215ab472e547944225778f70616b0bc,"cancelNotification,index<*>",20
cc265c516596302e23400f7681f06741,makeExpandedInvisible: mExpandedVisible=<*>,4
fbb3c9bb2b0677b00554e82f526121e0,closeQs,12
18084d2f2e0b17bbf3492c9cc45874cb,instantCollapse,9
cbd4846f9700686a2381c75f431b56ca,disable: < expand icons* alerts system_info* back home recent clock <*> quick_settings >,3
3c73ac0c9aaeaf53dec0ad38ac58ab81,*** unregister callback for <*>guard<*>,1
fc6b3dda85bfa035aac8c4b11a0e7dcf,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,37
a6b9ef39bcb9563fb7f42da000dd559a,isMusicActive...,12
041ebeaa0f9a660057f7b658bfacc2ae,"Start dump, calling from : pid=<*>, uid=<*>",1
b000488683f05ff99c900126927d9250,"acquire lock=<*>, flags=<*>, tag=""WiredAccessoryManager"", name=<*>, ws=<*>, uid=<*>, pid=<*>",1
24b39c4c07e7195335a1575e843dee48,setWiredDeviceConnectionState type: -<*> state: <*>,1
e4879e8025129ba0ab7766f0e93ded80,"acquire lock=<*>, flags=<*>, tag=""handleAudioEvent"", name=<*>, ws=<*>, uid=<*>, pid=<*>",1
9e34a5354d2e43a56797e42bab329211,setWiredDeviceConnectionState type: <*> state: <*>,1
b245687bdf314a1b6e099888565f92c4,"release:lock=<*>, flg=<*>, tag=""WiredAccessoryManager"", name=<*>"", ws=<*>, uid=<*>, pid=<*>",1
7e9115636ed5244ad1b25f94c104e7cb,"ActivityManagerService,attachApplication,callingPid = <*>",4
718370a849483e0bc154279f3e256d8b,"acquire lock=<*>, flags=<*>, tag=""AudioMix"", name=audioserver, ws=<*>, uid=<*>, pid=<*>",3
e24e9849aae5bf9616c78e9861ac1d95,"release:lock=<*>, flg=<*>, tag=""handleAudioEvent"", name=<*>"", ws=<*>, uid=<*>, pid=<*>",1
8f618178a767c4471f60c91c4982217c,isBluetoothA<*>On...,1
ce34163af370c882e9221cc68cde093b,isBluetoothScoOn...,1
ae38694d6cc90b0a1296d87e57b6d755,getLastAudibleStreamVolume treamType: <*>,9
d9dee4ccb6282c82d880eb154ad155ab,getDevicesForStream streamType: <*>,2
369d5eff836b1677adbca3861febfd20,cleanUpApplicationRecord -- <*>,6
7979ce11ac20cb62ed9390ebdf2292a4,"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>",6
f4cc530d89d749423101a78c6bc1476b,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",6
2ff94cc597b15370d52a35e79bd2ec3a,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=<*>,6
710052a862b247447c134cafd01fb732,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,6
eadc277d4fac1af2df56ad7369951cf5,getMode...,1
97552f5363d94c7a291f7af7c50abb2b,setSpeakerphoneOn on: <*>,1
047d02e394ac268e443b095299fdf06c,setSpeakerphoneOn on:<*>,1
e71de7f8a6f7b334dc3ea4153e25aa56,"sending alarm Alarm{<*> type <*> PendingIntent{<*> PendingIntent<*>Intent}}},repeatInterval = <*>,listenerTag =<*>_<*>",3
b0fb94158ee53090b44704a5a5216309,Received TIME_TICK alarm; rescheduling,3
215c579aaff7335fa3502f677190e87d,scheduleTimeTickEvent triggerAtTime = <*>,3
37457b9b12d333adb4c0fce5580d1e2b,received broadcast <*>TIME_TICK,3
3e03b5e17cae6e04ae05a5941310d1e4,handleTimeUpdate,3
c1344fa9c15df1ed0cebded6f7134f23,"sending alarm Alarm{<*> type <*> PendingIntent{<*> PendingIntent<*>}}},repeatInterval = <*>,listenerTag =<*>",2
f43a2200f5abf353b73ebfba38ce1057,Killing <*>:<*> (<*>): empty for <*>,1
ca29bc0be94374c79a7e7832e7f775a2,remove(PendingIntent{<*>: PendingIntentRecord{<*>Intent<*>) changed bounds; rebatching,1
246afb7a9de9fc2ce673053c566e534a,Unable to start service Intent { act=<*> cmp=<*> } U=<*>: not found,1
771c32dfdbacfb45af3d50e5d71b7416,"acquire lock=<*>, flags=<*>, tag=""RILJ_<*>_<*>L"", name=<*>, ws=<*>, uid=<*>, pid=<*>",5
537214a56337ee788b69cabbaf60ffd5,"release:lock=<*>, flg=<*>, tag=""R<*>_<*>"", name=<*> ws=<*>, uid=<*>, pid=<*>",3
13d3f5231255849fcf94496d0d96234b,unregisterAudioFocusListener...,1
504c331aaeb1fb549bc8deea451f277b,abandonAudioFocus,1
a4e9f81f7904a661bd98ca3a0c7bd2ab,"[HSM] stayAwake false uid: <*>, pid: <*>",1
616488872401ef6002f3f3f1ef7bee37,Pid:<*> MediaPlayer destructor,1
3ad51cead75dc6f4cd30ef6f2a5f7d14,Process com<*>:<*> (pid <*>) has died,1
7e683a0a89bfb15e48ded858004d965f,Scheduling restart of crashed service <*> in <*>ms,1
09d7a45f9e6a2681f2498a0970c2797f,"new Process app=ProcessRecord{<*>}, name: <*>, euid: <*>",1
ccf3a0b4c2d2c8e507a0326755fa4280,Start proc <*>:<*> for service <*>Service,1
34c242bcc7299bfe511e6e4e568ce740,enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=<*> vibrate=[<*> sound=<*> tick defaults=<*> flags=<*> color=<*> vis=PRIVATE),1
f250774501318498f40b741762b1fc76,enqueueNotificationInternal: n.getKey = <*>,2
99718fbdbea91b89436ed3678867f9e0,getRingerMode...,3
8aaa4f4179a74157de307c4780ba8954,addNotification key=<*>,2
3a97dc6f7f8fc0996bc0bd5748160566,mHeadsUpExistenceChangedRunnable,4
a63645e4231f20905143e69229882b75,Marking notification as seen <*>,2
36dc96c67733633519f81350babfb2f4,onNotificationExpansionChanged called,2
2d05aca8790945984be884b059950af5,START u<*> {act=<*> cat=[<*>UNCH<*>] flg=<*> cmp=<*> bnds=[<*> from uid <*> on display <*>,2
c9ae85fe356962be5c2a117bb7522f39,"rotationForOrientationLw(orient<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",1
5c10bbdfab6d2f5dc8b83f10215e9505,"Application requested orientation -<*>, got rotation <*> which has compatible metrics",1
eb26beef56e840e006e1a7852a9606c8,getRecentTasks: topActivity=Component<*>},4
33cdb90d1b18902b84f42a5b6f6de7d2,"ACTIVITY check <*>: <*>, size=<*>",2
0a050854a505531c4d0ea772c3d60e1a,getAllCellInfo is blocked by permission manager . callingPackage = <*>,3
96658704e70038fcb90ed2fa4c839302,getCellLocation is blocked by permission manager uid:<*> pid:<*>,1
d639dd084250e24cff0949589ff5d471,isWiredHeadsetOn...,1
3d1b62bef30013a5ed693919f449e8ce,"acquire lock=<*>, flags=<*>, tag=""AudioMix"", name=audios<*>, ws=<*>, uid=<*>, pid=<*>",2
0c87ac070619a6a46439176d2f0d034c,"setDataSource(<*>, <*>, <*>)",1
fdd7deac46a9a3611d19dbccb10ac3c1,getStreamVolume treamType: <*>,1
23b5b03f4ed632a20cb389686d1621ae,"updateIsPoweredLocked: wasPowered=<*>, mIsPowered=<*>, oldPlugType=<*>, mPlugType=<*>, mBatteryLevel=<*>",1
88c36556561d3f4cf9cd936546c5bed7,received broadcast android<*>BATTERY_CHANGED,1
f1cf316c6dcd78c196385711b8f990fd,ACTION_BATTERY_CHANGED AMP: <*>; Volt: <*>,1
283cafc3e7f2ec1c649e6ccdc040ec8d,updateChargingLocked: charging=<*>,1
912b393a945b26d089e4e8e4e97ed78e,"onReceive, action:<*>BATTERY_CHANGED",1
5185f06dd0e4183332253cb4d6f2181f,ACTION_BATTERY_CHANGED pluggedType: <*>,1
f790bcce509c44ee8a63f6248a18c86d,ApStaDisabledState what=<*>,1
96d275e93ad30ba3665087bc3ec0743b,DefaultState what=<*>,1
f360e1f9e98bcfeb89d6a30a4b77fcf1,battery changed pluggedType: <*>,1
1d75714a4f1d2a027dfab7a5cf9a911a,RefreshBatteryInfo isBatteryLow: <*>,2
7100dd456ec75689339188dad0cefdc8,ChargingSpeed Wattage: -<*> ST: <*>,1
e23c2601a95faa46e79ecfdef7f0aa7a,handleBatteryUpdate,1
b33d1820c89bc092f914eeae3cef1940,enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=<*> vibrate=<*> sound=<*> tick defaults=<*> flags=<*> color=<*> category=<*> vis=PRIVATE),1
2319ca38cfacb928132b63a1ac1c61e7,START u<*> {flg=<*> cmp=<*> (has extras)} from uid <*> on display <*>,1
3229d6a3f32edfff0d0f55487d37f33a,startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for: Intent { flg=<*> cmp=<*> (has extras) },1
