,LineId,Time,Level,Content,EventId,EventTemplate
0,1,Sun Dec 04 04:47:44 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e105cbb5b6f3aa35c030219e4f72febf,workerEnv.init() ok <*>
1,2,Sun Dec 04 04:47:44 2005,error,mod_jk child workerEnv in error state 6,a54f5ca4261e15d1a393cd5ce2a59fd1,mod_jk child workerEnv in error state <*>
2,3,Sun Dec 04 04:51:08 2005,notice,jk2_init() Found child 6725 in scoreboard slot 10,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
3,4,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6726 in scoreboard slot 8,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
4,5,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6728 in scoreboard slot 6,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
5,6,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e105cbb5b6f3aa35c030219e4f72febf,workerEnv.init() ok <*>
6,7,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e105cbb5b6f3aa35c030219e4f72febf,workerEnv.init() ok <*>
7,8,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e105cbb5b6f3aa35c030219e4f72febf,workerEnv.init() ok <*>
8,9,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,a54f5ca4261e15d1a393cd5ce2a59fd1,mod_jk child workerEnv in error state <*>
9,10,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,a54f5ca4261e15d1a393cd5ce2a59fd1,mod_jk child workerEnv in error state <*>
10,11,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,a54f5ca4261e15d1a393cd5ce2a59fd1,mod_jk child workerEnv in error state <*>
11,12,Sun Dec 04 04:51:37 2005,notice,jk2_init() Found child 6736 in scoreboard slot 10,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
12,13,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6733 in scoreboard slot 7,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
13,14,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6734 in scoreboard slot 9,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
14,15,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e105cbb5b6f3aa35c030219e4f72febf,workerEnv.init() ok <*>
15,16,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e105cbb5b6f3aa35c030219e4f72febf,workerEnv.init() ok <*>
16,17,Sun Dec 04 04:51:55 2005,error,mod_jk child workerEnv in error state 6,a54f5ca4261e15d1a393cd5ce2a59fd1,mod_jk child workerEnv in error state <*>
17,18,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6738 in scoreboard slot 6,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
18,19,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6741 in scoreboard slot 9,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
19,20,Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6740 in scoreboard slot 7,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
20,21,Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6737 in scoreboard slot 8,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
21,22,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e105cbb5b6f3aa35c030219e4f72febf,workerEnv.init() ok <*>
22,23,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e105cbb5b6f3aa35c030219e4f72febf,workerEnv.init() ok <*>
23,24,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e105cbb5b6f3aa35c030219e4f72febf,workerEnv.init() ok <*>
24,25,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 6,a54f5ca4261e15d1a393cd5ce2a59fd1,mod_jk child workerEnv in error state <*>
25,26,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,a54f5ca4261e15d1a393cd5ce2a59fd1,mod_jk child workerEnv in error state <*>
26,27,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,a54f5ca4261e15d1a393cd5ce2a59fd1,mod_jk child workerEnv in error state <*>
27,28,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6748 in scoreboard slot 6,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
28,29,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6744 in scoreboard slot 10,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
29,30,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6745 in scoreboard slot 8,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
30,31,Sun Dec 04 04:52:49 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e105cbb5b6f3aa35c030219e4f72febf,workerEnv.init() ok <*>
31,32,Sun Dec 04 04:52:49 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e105cbb5b6f3aa35c030219e4f72febf,workerEnv.init() ok <*>
32,33,Sun Dec 04 04:52:52 2005,error,mod_jk child workerEnv in error state 7,a54f5ca4261e15d1a393cd5ce2a59fd1,mod_jk child workerEnv in error state <*>
33,34,Sun Dec 04 04:52:52 2005,error,mod_jk child workerEnv in error state 6,a54f5ca4261e15d1a393cd5ce2a59fd1,mod_jk child workerEnv in error state <*>
34,35,Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6750 in scoreboard slot 7,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
35,36,Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6751 in scoreboard slot 9,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
36,37,Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6752 in scoreboard slot 10,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
37,38,Sun Dec 04 04:53:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e105cbb5b6f3aa35c030219e4f72febf,workerEnv.init() ok <*>
38,39,Sun Dec 04 04:53:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e105cbb5b6f3aa35c030219e4f72febf,workerEnv.init() ok <*>
39,40,Sun Dec 04 04:53:16 2005,error,mod_jk child workerEnv in error state 7,a54f5ca4261e15d1a393cd5ce2a59fd1,mod_jk child workerEnv in error state <*>
40,41,Sun Dec 04 04:53:16 2005,error,mod_jk child workerEnv in error state 6,a54f5ca4261e15d1a393cd5ce2a59fd1,mod_jk child workerEnv in error state <*>
41,42,Sun Dec 04 04:53:29 2005,notice,jk2_init() Found child 6754 in scoreboard slot 8,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
42,43,Sun Dec 04 04:53:29 2005,notice,jk2_init() Found child 6755 in scoreboard slot 6,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
43,44,Sun Dec 04 04:53:40 2005,notice,jk2_init() Found child 6756 in scoreboard slot 7,b00729be5f577f0c79aa4fbc8f42b121,jk2_init() Found child <*> in scoreboard slot <*>
44,45,Sun Dec 04 04:53:51 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e105cbb5b6f3aa35c030219e4f72febf,workerEnv.init() ok <*>
45,46,Sun Dec 04 04:53:54 2005,error,mod_jk child workerEnv in error state 7,a54f5ca4261e15d1a393cd5ce2a59fd1,mod_jk child workerEnv in error state <*>
