,Unnamed: 0,LineId,Content,EventTemplate,EventId
0,0,1,TEST 1/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
1,1,2,TEST 2/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
2,2,3,TEST 3/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
3,3,4,TEST 4/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
4,4,5,TEST 5/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
5,5,6,TEST 6/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
6,6,7,TEST 7/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
7,7,8,TEST 8/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
8,8,9,TEST 9/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
9,9,10,TEST 10/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
10,10,11,SKIP phpt EXTENSIONS directive with shared module [tests/run-test/bug75042.phpt] reason: openssl is built static,SKIP <*> EXTENSIONS directive with shared module [<*>] reason: <*> is built static,ff98df67c3bd3f2831311b461f368286
11,11,12,TEST 11/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
12,12,13,TEST 12/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
13,13,14,TEST 13/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
14,14,15,TEST 14/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
15,15,16,TEST 15/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
16,16,17,TEST 16/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
17,17,18,TEST 17/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
18,18,19,TEST 18/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
19,19,20,TEST 19/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
20,20,21,TEST 20/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
21,21,22,TEST 21/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
22,22,23,TEST 22/13884 [2/2 concurrent test workers running],TEST <*> [<*> concurrent test workers running],f2fc1a9c8f91811f0714370a9d65f726
