,EventTemplate,Count
f2fc1a9c8f91811f0714370a9d65f726,TEST <*> [<*> concurrent test workers running],14109
ff98df67c3bd3f2831311b461f368286,SKIP <*> EXTENSIONS directive with shared module [<*>] reason: <*> is built static,1
a7c32465e4368be7cbd59c0ff2fd2141,SKIP Req <*> (Specify temporary directory) [<*>] reason: Run only on Windows,1
04a5b46bc6f07963f00bf060c8f5102c,SKIP Bug <*> (<*> may include the same file twice) [<*>] reason: only for Windows,1
d25a8a6632477ba3a760c07ce609d9bb,"SKIP Test <*>_<*>, <*> and <*>_<*> (<*>) [<*>] reason: this test is for 32-bit platforms only",1
b0c04f1847307a9bf56ce26c934b670c,SKIP Test == operator : max int <*> range [<*>] reason: this test is for 32<*> platform only,1
1e1e668916ba325918c0f75b5297b3ad,SKIP Test >= operator : max int <*> range [<*>] reason: this test is for <*> platform only,1
9031b389bd37ac52299045ec704a3388,SKIP Test === operator : max int <*> range [<*>] reason: this test is for <*> platform only,1
300087871825608f441cce3e275de1c5,SKIP Test <= operator : max int <*> range [<*>] reason: this test is for <*> platform only,1
8845879c1d8a526f696b2379d31fa727,SKIP Test != operator : max int <*> range [<*>] reason: this test is for 32<*> platform only,1
50e6d6f24ee5c3ada1d72594b27156ca,SKIP Test !== operator : max int <*> range [<*>] reason: this test is for <*> platform only,1
a06473f7b30db727336b64dea790b2eb,SKIP Test <*> on older Windows versions with redirected STDERR [<*>] reason: Only for Windows systems,1
f23e8758a6e2f63cb3afff075acd7080,SKIP Test <*> on older Windows versions with redirected STDIN/STDERR [<*>] reason: Only for Windows systems,1
6b5719fd84ec3512dae144658eb94ba6,SKIP Test <*> on older Windows versions with redirected STDIN/<*>/STDERR [<*>] reason: Only for Windows systems,1
5b92aa024716bbf386f036a442edc24f,SKIP Test <*> on older Windows versions with redirected STDIN/<*> [<*>] reason: Only for Windows systems,1
3fa483fe05456b61dd24db7915d5e8eb,SKIP Test <*> on older Windows versions with redirected STDOUT/STDERR [<*>] reason: Only for Windows systems,1
99e570e8f4158a393a1b1c5736232fd3,SKIP Test <*> on older Windows versions with redirected STDOUT [<*>] reason: Only for Windows systems,1
ef79951e220bba7e3de037d1dd99dd13,SKIP Test <*> on newer Windows versions with redirected STDERR [<*>] reason: Only for Windows systems,1
4f0a6cb1e5add9085cbf5f6c3fcac30a,SKIP Test <*> on newer Windows versions with redirected STDIN/STDERR [<*>] reason: Only for Windows systems,1
115220ae801b91dd2473413f753f9395,SKIP Test <*> on newer Windows versions with redirected STDIN/<*>/STDERR [<*>] reason: Only for Windows systems,1
dd17009d0b6023738badb4424c0827b5,SKIP Test <*> on newer Windows versions with redirected STDIN/<*> [<*>] reason: Only for Windows systems,1
3efe0779272eba79880e88d0c9cb37df,SKIP Test <*> on newer Windows versions with redirected STDOUT/STDERR [<*>] reason: Only for Windows systems,1
d8346ceda905e3561941243e82cc18b1,SKIP Test <*> on newer Windows versions with redirected STDOUT [<*>] reason: Only for Windows systems,1
096c7c2010ee826dc743bc233dba42ce,<*>===DIFF========,50
ff52c40c09db1af28b94617a0f985648,<*>,277
79819905ca9bd3aab6b7a5f5f69bfcd3,<*> Warning: unlink(): <*> restriction in effect<*> File(<*>) is not within the allowed path(s): (<*> in <*> on line <*>,1
e30fcc596801c0b7fbe5fa3cb7c01a57,<*> bool(false),7
1dde497b8c4ca5c77a4ef2c1eb8e27cf,<*> bool(true),3
8c8593d94bd7b20ecd15d6bc4530977c,<*>ONE<*>,50
71a16878c93d6278eeb20ebc771e5594,XFAIL Test open<*> configuration [<*>] XFAIL REASON: BUG: <*> cannot delete <*>ml<*> to prohibited file<*> See also,1
737c177147ab66df679c43a781480290,bugs <*> and <*>.,1
0242a5468e08d0005f988bf111a9b156,SKIP Test <*> configuration [<*>] reason: Windows only variation,1
dbb3907c3d981bdf3376db65c9aa4f58,SKIP Test <*> configuration [<*>] reason: only run on Windows,1
1622f970512af3b614c76738c5a7692c,<*> Fatal error: Call to protected method <*> from context <*> in <*> on line <*>,2
e2f242e3b36d01aa51b485f3f9f765bb,XFAIL Inconsistencies when accessing protected members [<*>] XFAIL REASON: Discussion: <*>,1
e9fe09614458edf4ba3f0aed400c62a0,XFAIL Inconsistencies when accessing protected members - 2 [<*>] XFAIL REASON: Discussion: <*>,1
8477f2cfa84f6f9637ae3418c66faaa4,SKIP testing binary literals [<*>] reason: this test is for <*> platform only,1
85ba0ba3c770910c8a9b23eeef68d759,SKIP Bug <*> (<*> function allocation eats memory) [<*>] reason: Test doesn't support read<*>,1
ce26dac3f368be87eb5d9ba416dbd0d4,SKIP Bug <*> (Creating associative array with long values in the key fails on <*>) [<*>] reason: this test is for <*> platforms only,1
9246233b30cc52b71bbfcd36c288e37e,<*> This method shouldn't be called when using <*>,1
e2f67ab64ded8845e114d060c051f54b,"<*> string(<*>) ""<*> This should work!""",5
43377ea06809dae472cfb3a56aba5ef5,XFAIL Bug <*> (<*> fails to call parent from inheriting class) [<*>] XFAIL REASON: See Bug <*>,3
d6b311b1d9fc9d26ced43a675a3302a5,"<*> Fatal error: Uncaught TypeError: <*> expects parameter <*> to be a valid callback, cannot access private method <*> in <*>",1
