,EventTemplate,Count
82d60100e35020ecc16fb596c1663e1f,Component State Change: Component <*>-<*>ID:<*>-<*>-<*> is in the unavailable state (HWID=<*>),1
f5742434e52f3efd43e22737f1949fde,Component State Change: Component <*> is in the unavailable state (HWID=<*>),11
7420bcff4af53032d137dfc991a92975,clusterAddMember (command <*>),2
c4b885bcfd45935096e2e65eb583f5f0,risBoot (command <*>),1
53a4d3c2eee09c1cc7e5dca79623b818,bootGenvmunix (command <*>),2
9154a7f91f5e0485cbf022d8ffce6cb4,boot (command <*>),67
07b9d7a6d5c912ce3ff73b8d1c0108fb,wait (command <*>),66
45d7d070e35cfcc6c9db83d11e9fcd7a,halt (command <*>),3
b4e25afc37f4136a7e5243731df6d50f,Command has completed successfully,10
1ed66744352a3727c9dacffbd9d7443c,Targeting domains:node-<*> and nodes:node-[<*>-<*>] child of command <*>,5
c3d9d2ba5ce71171c183493e63013c28,Targeting domains:node-<*> and nodes:node-[<*>],1
774469e42c2f701f8c99f1a78d99fb1b,Targeting domains:node-<*> and nodes:node-<*>,2
020f0f3cff25f8b015e7115df7cee6e1,Targeting domains:node-<*>[<*>] and nodes:node-[<*>],1
020e3c639cb7c223d305649ce3b14148,psu failure\ ambient=<*>,5
6bc1fa98671f69e57fa2e81291244d37,Temperature (<*>C) exceeds warning threshold,2
97e2eb74d5c88630935d14385e84b191,ClusterFileSystem: There is no server for ServerFileSystem domain <*>,32
d8df77a3a963ce5194b88acdc5793960,NIFF: node node-<*> detected a failed network connection on network <*> via interface alt0,2
6b6cbcf3bd6aa203a63eb6540ecd7ee5,ServerFileSystem: An ServerFileSystem domain panic has occurred on storage<*>,1
27eab56839040e5257deaec1cbfd5f0e,Fan speeds ( <*> ),90
5452c51c818bac88209800ecac1a4f34,Command has been aborted,1
e13d082a37d1822d01c5dbfcba0443e1,power/control problem,1
ec4e03ec09193ec3f77d6334fc473916,Link error,13
db5aa7f94376a90c47b27957d474616e,Link in reset,9
641961b91b19670ae3518f6137d21057,Link ok,13
b909f48104e517a8b5679f20172f67fc,Link error on broadcast tree Interconnect-<*>:<*>:<*>,1
562e2ceef876647f818f41e46d5169f0,Link error on broadcast tree Interconnect-<*>:<*>,1
160a0889caae3d99f94f689c29425f43,Link error on broadcast tree Interconnect-<*>,2
a8108a6eb886432ce53fe1a1e96c7584,ServerFileSystem: ServerFileSystem domain <*> is full,12
2bd60a8d3d29bd3cbaed2670974627a7,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>,36
75101dcdfc88455bcafc9e53e0b06689,running,162
61326117ed4a9ddf3f754e71e119e5b3,blocked,15
b02b974139f28db87b988c600d0ef6e0,not responding,60
8cfafe98b59a9acd5caf597760b0c45f,configured out,91
47a00a9bf96652970b46ab3e54c657c3,inconsistent nodesets node-<*> 0x<*>fe <ok> node-<*> 0x<*>fdfe <ok> node-<*> 0x<*>fdfe <ok> node-<*> 0x<*>fdfe <ok>,1
c76a5e84e4bdee527e274ea30c680d79,active,5
2514390d012d8632ae1b3fd80eb16660,inconsistent nodesets node-<*> <ok> node-<*> 0<*>fe <ok> node-<*> 0x<*>fe <ok> node-<*> 0x<*>fe <ok>,1
252f035f5f44ef3e626f04a0400546e6,not-responding,1
cb6647f4406ae81b9f3986772c5728f4,inconsistent nodesets node-<*> 0x<*>fc <ok> node-<*> 0x<*>fc <ok> node-<*> 0x<*>fc <ok> node-<*> 0x<*>fc <ok> node-<*> 0x0000<*>fc <ok> node-<*> 0x<*>fc <ok> node-<*> 0x0000<*>fc <ok> node-<*> 0x<*>fdfc <ok> node-<*> 0x<*>fdfc <ok> node-<*> 0x<*>fdfc <ok> node-<*> 0x<*>fdfc <ok> node-<*> 0x<*>fdfc <ok> node-<*> 0x<*>fdfc <ok>,1
1ee85f6c60017a7f0646ba8dc5824de6,starting,1
3b38bec18c8edcf71c5f25e5f4fee0fc,closing,1
bd52a965fdadfce7492de4429aa705d5,inconsistent nodesets node-<*> 0x<*>fffe <ok> node-<*> 0x<*>fffe <ok> node-<*> 0x<*>fffe <ok> node-<*> 0x<*>fffe <ok> node-<*> 0xfffffffe <ok>,1
fea087517c26fadd409bd4b9dc642555,normal,206
7b83d3f08fa392b79e3f553b585971cd,warning,205
28a9ef59f988f7d1fec3a181ea487617,ambient=<*>,292
7e85bcb66fb9a809d5ab4f62a8b8bea8,critical,20
9050ee256e5a6c595f075a02d058e1ea,Linkerror event interval expired,394
7eff77c0fcbf19286bed1f9d88a3d2e9,risBoot (command <*>) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,1
b1f962e393de1a05c91a77b5c8c3f5da,boot (command <*>) Error: HALT asserted\ cannot continue,1
bd82b62d12147893448bc695bec05930,Failed subcommands <*>,1
551adf73095c8b202e145ded138b8173,link errors remain current,56
ec55007e2e404095317417c79a9e846f,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0,45
c8cf30f709aac2162b871374e5959737,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0,44
2a721f51dbc85cd2c7c4c043d8338d16,NIFF: node node-<*> has detected an available network connection on network <*> via interface scip0,2
