,LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate
0,1,2015-10-18,"18:01:47,978",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Created MRAppMaster for application appattempt_1445144423722_0020_000001,aa1714477563e7a74652905246fd4b14,Created MRAppMaster for application <*>
1,2,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Executing with tokens:,3c5bb15c26cf3758cb1753584016eb2e,Executing with tokens:
2,3,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",c0bdd54595a63bb0396a89e2e62e1f8d,"Kind: <*>, Service: , Ident: (appAttemptId { application_id { id: <*>timestamp: <*> } attemptId: <*> } keyId: <*>)"
3,4,2015-10-18,"18:01:49,228",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Using mapred newApiCommitter.,0594ecc254fb77b08cd5ee2714f4d3d5,Using mapred newApiCommitter.
4,5,2015-10-18,"18:01:50,353",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter set in config null,c0c8618d6ffa2268d6cc99e1f60388f8,OutputCommitter set in config null
5,6,2015-10-18,"18:01:50,509",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,a6b398a15807348532d6ce66a4cd5cbc,OutputCommitter is <*>FileOutputCommitter
6,7,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,173b51a37b554df7d7b746028622c2a2,Registering class <*>EventType for class <*>JobHistoryEventHandler
7,8,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,4e2b248b28cbc24efac01d89c449bdbc,Registering class <*>JobEventType for class <*>JobEventDispatcher
8,9,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,589f1e3d89c1780ac4570eca39ab5631,Registering class <*>TaskEventType for class <*>TaskEventDispatcher
9,10,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,68ecb7d86d2d4a9ca804a0f9fb68c2d7,Registering class <*>TaskAttemptEventType for class <*>TaskAttemptEventDispatcher
10,11,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,fa77fcbce0443f25f256990973bef57a,Registering class <*>.CommitterEventType for class <*>.CommitterEventHandler
11,12,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,7f9e9f8fb237205e18f2e7f96f33ad54,Registering class <*>Speculator$EventType for class <*>$SpeculatorEventDispatcher
12,13,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,b98f7a7869ebd3f9e9c48e83dd36b042,Registering class <*>ContainerAllocator$EventType for class <*>$ContainerAllocatorRouter
13,14,2015-10-18,"18:01:50,588",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,e69a8faab7febe20bc66b9fd263f4c0c,Registering class <*>ContainerLauncher$EventType for class <*>$ContainerLauncherRouter
14,15,2015-10-18,"18:01:50,634",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],c2b09d31a424eb6a89f7b6b1a570ae88,Default file system [<*>:<*>]
15,16,2015-10-18,"18:01:50,666",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],c2b09d31a424eb6a89f7b6b1a570ae88,Default file system [<*>:<*>]
16,17,2015-10-18,"18:01:50,713",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],c2b09d31a424eb6a89f7b6b1a570ae88,Default file system [<*>:<*>]
17,18,2015-10-18,"18:01:50,728",INFO,main,org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Emitting job history data to the timeline server is not enabled,3a03968c42cd2288bc4788ac3898e9eb,Emitting job history data to the timeline server is not enabled
18,19,2015-10-18,"18:01:50,806",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,d791591da2a1b041627adc9b5175077a,Registering class <*>JobFinishEvent$Type for class <*>$JobFinishEventHandler
19,20,2015-10-18,"18:01:51,197",INFO,main,org.apache.hadoop.metrics2.impl.MetricsConfig,loaded properties from hadoop-metrics2.properties,0a99c195c4f2a41442c132d568fda3d3,loaded properties from <*>met<*>
20,21,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,Scheduled snapshot period at 10 second(s).,4dc897008c5def306391cb2618a787bc,Scheduled snapshot period at <*> second(s).
21,22,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,MRAppMaster metrics system started,fc657c96e073f499f858408947b13d16,MRAppMaster metrics system started
22,23,2015-10-18,"18:01:51,322",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,9c396752b9f03e578ab204d7d6c13f57,Adding job token for <*> to jobTokenSecretManager
23,24,2015-10-18,"18:01:51,619",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,ce54fccc76717b4e0761b62d56551570,Not uberizing <*> because: not enabled; too many maps; too much input;
24,25,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,7b90175f24ef419f0a1fc854918802b2,Input size for job <*> = <*>. Number of splits = <*>
25,26,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Number of reduces for job job_1445144423722_0020 = 1,70d3f175e1132a0031367fcaf777e614,Number of reduces for job <*> = <*>
