,LineId,Time,Component,Pid,Content,EventId,EventTemplate
0,1,20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,93067dc44318c97db7b8767da9e69a1d,onStandStepChanged <*>
1,2,20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,3a0c88e1787d851b2f3b297d1bd6b54e,onExtend:<*>
2,3,20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,b080c3388362eb6d362d34a0ec0cfd87,onReceive action: android.intent.action.SCREEN_ON
3,4,20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,dd5e8a75cb9999e68d33ec6af1e71542,processHandleBroadcastAction action:android.intent.action.SCREEN_ON
4,5,20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,b8f897f886cdc4486346681abd7eb530,flush sensor data
5,6,20171223-22:15:29:635,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,0da1d5d7df64c0578b27d7aa5ed35d16,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
6,7,20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,e3a0630a49aa3c443d1ee8485cccc3c0,setTodayTotalDetailSteps=<*>
7,8,20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,93067dc44318c97db7b8767da9e69a1d,onStandStepChanged <*>
8,9,20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,ec91e8ec34a6a7f946d442115b86423a,calculateCaloriesWithCache totalCalories=<*>
9,10,20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,213c973d4b6effcf64752e188131f027,calculateAltitudeWithCache totalAltitude=<*>
10,11,20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,f7985a60694bb8162531d2b6945ab7ea,REPORT : <*>
11,12,20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,3a0c88e1787d851b2f3b297d1bd6b54e,onExtend:<*>
12,13,20171223-22:15:29:738,Step_LSC,30002312,onStandStepChanged 3579,93067dc44318c97db7b8767da9e69a1d,onStandStepChanged <*>
13,14,20171223-22:15:29:792,Step_LSC,30002312,onStandStepChanged 3580,93067dc44318c97db7b8767da9e69a1d,onStandStepChanged <*>
14,15,20171223-22:15:29:800,Step_LSC,30002312,onExtend:1514038530000 1 0 4,3a0c88e1787d851b2f3b297d1bd6b54e,onExtend:<*>
15,16,20171223-22:15:29:950,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,0da1d5d7df64c0578b27d7aa5ed35d16,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
16,17,20171223-22:15:29:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,e3a0630a49aa3c443d1ee8485cccc3c0,setTodayTotalDetailSteps=<*>
17,18,20171223-22:15:29:959,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126797,ec91e8ec34a6a7f946d442115b86423a,calculateCaloriesWithCache totalCalories=<*>
18,19,20171223-22:15:29:962,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,213c973d4b6effcf64752e188131f027,calculateAltitudeWithCache totalAltitude=<*>
19,20,20171223-22:15:29:962,Step_StandReportReceiver,30002312,REPORT : 7008 5003 150111 240,f7985a60694bb8162531d2b6945ab7ea,REPORT : <*>
20,21,20171223-22:15:30:331,Step_LSC,30002312,onStandStepChanged 3581,93067dc44318c97db7b8767da9e69a1d,onStandStepChanged <*>
21,22,20171223-22:15:30:335,Step_LSC,30002312,onExtend:1514038531000 1 0 4,3a0c88e1787d851b2f3b297d1bd6b54e,onExtend:<*>
22,23,20171223-22:15:30:632,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,0da1d5d7df64c0578b27d7aa5ed35d16,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
23,24,20171223-22:15:30:632,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,e3a0630a49aa3c443d1ee8485cccc3c0,setTodayTotalDetailSteps=<*>
24,25,20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,ec91e8ec34a6a7f946d442115b86423a,calculateCaloriesWithCache totalCalories=<*>
25,26,20171223-22:15:30:641,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,213c973d4b6effcf64752e188131f027,calculateAltitudeWithCache totalAltitude=<*>
26,27,20171223-22:15:30:642,Step_StandReportReceiver,30002312,REPORT : 7009 5004 150132 240,f7985a60694bb8162531d2b6945ab7ea,REPORT : <*>
27,28,20171223-22:15:30:841,Step_LSC,30002312,onStandStepChanged 3583,93067dc44318c97db7b8767da9e69a1d,onStandStepChanged <*>
28,29,20171223-22:15:30:858,Step_LSC,30002312,onExtend:1514038531000 2 0 4,3a0c88e1787d851b2f3b297d1bd6b54e,onExtend:<*>
29,30,20171223-22:15:31:142,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,0da1d5d7df64c0578b27d7aa5ed35d16,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
30,31,20171223-22:15:31:143,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,e3a0630a49aa3c443d1ee8485cccc3c0,setTodayTotalDetailSteps=<*>
31,32,20171223-22:15:31:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126861,ec91e8ec34a6a7f946d442115b86423a,calculateCaloriesWithCache totalCalories=<*>
32,33,20171223-22:15:31:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,213c973d4b6effcf64752e188131f027,calculateAltitudeWithCache totalAltitude=<*>
33,34,20171223-22:15:31:160,Step_StandReportReceiver,30002312,REPORT : 7011 5005 150175 240,f7985a60694bb8162531d2b6945ab7ea,REPORT : <*>
34,35,20171223-22:15:31:841,Step_LSC,30002312,onStandStepChanged 3584,93067dc44318c97db7b8767da9e69a1d,onStandStepChanged <*>
35,36,20171223-22:15:31:862,Step_LSC,30002312,onExtend:1514038532000 1 0 4,3a0c88e1787d851b2f3b297d1bd6b54e,onExtend:<*>
36,37,20171223-22:15:32:145,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,0da1d5d7df64c0578b27d7aa5ed35d16,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
37,38,20171223-22:15:32:147,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,e3a0630a49aa3c443d1ee8485cccc3c0,setTodayTotalDetailSteps=<*>
