,EventTemplate,Count
b4f7abc965cfab635da065289150e920,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,117
b780997e36676401fe3cab7dad34f1ca,check pass; user unknown,117
65e1af727f3ff938cb9af882bde38c46,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,372
22fab53cb1e51dbc597131f22f193599,session opened for user <*> by (uid=<*>),122
276248324cc8d5a3b1b73048c6531cec,session closed for user <*>,122
64042dcf66ec642149006af6328e2f63,ALERT exited abnormally with [<*>],43
e9ed038f43df4c9b50b184c6042ceee7,connection from <*> at <*>,909
b0fdceedffba3dc668830017cafdac1a,User unknown timed out after <*> at <*>,1
d0391983641b96a115ba072b55599177,<*>d shutdown succeeded,6
c7b5bff41817a6a00dec0e67e5b55696,<*>d startup succeeded,6
6f97e9d4c1c0aaf0ed913cef1580fcf6,restart.,7
4f67b71e9ebfa9322458eb35923dfbf5,Received SNMP packet(s) from <*>,1
360b37d2bafd46c16a55fee6ad6bf9e4,Authentication failed from <*> Permission denied in replay cache code,8
dea5ca5648093a909f665f98a4bcd177,Kerberos authentication failed,23
f72567296a2a044c4c16370f4c44a2be,Authentication failed from <*> Software caused connection abort,15
c5f1b95a08152afef6e5fa89388c46ae,*** info [<*>]:,1
0c9534b9f5fa5483b19acea2a23b5eea,<*>: Auto-detected intellim<*> PS<*>,1
09f4e03695cee517b44e436c54a76270,session opened for user root by LOGIN(uid=<*>),1
3bb0e3d5a24200935415cd1dfe7ff2c2,ROOT LOGIN ON tty<*>,1
3be46d32ec36b8c473329e67b5e52d67,session closed for user root,1
27ecd5510c3991c4e75b67fd2fedf448,removing device node <*>',2
15eeadb6c5fdb30cf6a4358ca48a00b9,removing device node '/<*>v<*>',2
f6890b2f64a6e5f370fb0cc808ea66f2,creating device node '/<*>v<*>',2
45c9d26f60338977024839aa95066638,creating device node '/<*>',2
194fed76f899f52887ea1717fdc560d4,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=,1
03649f38577c7115b12d488a221ec16c,Couldn't authenticate user,1
cedf9d0bb786f331f1019d22dd25794d,"ANONYMOUS FTP LOGIN FROM <*>, (anonymous)",2
a82d5ea671473420e05528b9cc0e47ae,notify question section contains no SOA,16
7e035e3376baf325a7c6d61467d4b053,getpeername (ft<*>): Transport endpoint is not connected,4
9998416d1096485cf3a40c5851bb8749,warning: can't get client address: Connection reset by peer,2
91fea51ad4376625cb2ea35fa1340012,syslogd startup succeeded,1
c19fea41905853e4162e7d9e81da3889,"klog<*>, log source = /proc/k<*> started<*>",1
e1e7e70315c70b38b9d5ff1aa55f557c,Linux version <*> (bhcompile@bugs.build.redhat.com) (gcc version <*> (Red Hat Linux <*>)) <*>,1
8c5379904cf6df995b24826d58eb479a,BIOS-provided physical RAM map:,1
26b863a048a964eb434c19689e9517ba,BIOS<*> (<*>),1
3e20ec44fa875cae2d9fbad02e9651cf,BIOS<*> (<*>erved),3
7144be9f12d136f1d326a1534fea2ccb,BIOS<*>),1
65189ee7b91185398e3909cfd5188eeb,<*>MB HIGHMEM available.,1
1d64804195237951df28d2710d98fe3d,<*>MB <*>MEM available<*>,1
42e1da557e230d19159ff1952e896579,zapping low mappings.,1
abd14c953765fa8c6d51e955ebbea8d0,klogd startup succeeded,1
009629669e4deb533b6578a63d90615c,On node <*> totalpages<*>,1
532896b6115c35382fbcd9ba02639d12,"DMA zone: <*> pages, LIFO batch:<*>",1
86839f472f04b236f86a9d31fcf04d85,"Normal zone: <*>, LIFO batch<*>",1
d7763055dd9a68b4f9ff8e9e13172e8b,irqbalance startup succeeded,1
94a7108d9075271615be007a4c843f6d,"HighMem zone: <*>, LIFO batch:<*>",1
9acc0838897d50ee4ad65dca9b72b713,DMI <*> present<*>,1
45e5ce079bcad9a4341cca8ea46a8dbc,ACPI disabled because your bios is from <*> and too old,1
29249ae3fa38c1b6fe832e90fea7b4e3,You can enable it with acpi=force,1
83c579642c94fc8f0c8eec7f042a37bf,Built <*>,1
7b03ad142548043c4f7b23004e3318ac,Kernel command line: ro root=LABEL=/ <*>,1
153017960dd65087794793ccd2fa59c0,mapped 4G<*>G trampoline to f<*>,1
9a67e7e955bb410dbcd7f1958d4b88b3,Initializing CPU<*>,1
bf43db160e74935dbe09c8e11e56da6f,"CPU <*> ir<*>, hard=<*> soft=<*>",1
7d73b4c5e9e430a3066ed86a24e2aea1,portmap startup succeeded,1
56dbac5bffc8894b212a667b5ddd6b7e,PID hash table entries: <*> (order <*>: <*> bytes),1
c9c130584170be8a74230ca227f53d63,<*> processor<*>,1
d06e47a03d4b778f19cda5937ed3a9a5,Version <*>,1
8595935363553dc5863500ff906e16f7,Using tsc for high-res timesource,1
8bfdb6d316f4cea167ee9d5735046a72,rpc<*>d startup succeeded,1
af326e8163dec2e648953ab64f89acdb,Console: colour VGA<*>,1
660054bf4f9fde3dc0bea0a008566512,"Memory: <*> available (<*>k kernel code, <*>k <*>, <*>k data, <*>k <*>, <*> highmem)",1
