,LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate
0,1,Jul,1,09:00:55,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,f4ada0a2b8578e3caae3965378c8086d,<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
1,2,Jul,1,09:01:05,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,Thermal pressure state: 1 Memory pressure state: 0,f42dcd96f043a8aada9b704a9ca4b8a0,Thermal pressure state: <*> Memory pressure state: <*>
2,3,Jul,1,09:01:06,calvisitor-10-105-160-95,QQ,10018,,FA||Url||taskID[2019352994] dealloc,eb85ad079d4c14ef390cecd2e77c1274,FA||Url||taskID[<*>] dealloc
3,4,Jul,1,09:02:26,calvisitor-10-105-160-95,kernel,0,,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],af7ebdd3ec888d175ea6fcf3e93af82f,ARPT: <*>: <*>::syncPowerState: WWEN[enabled]
4,5,Jul,1,09:02:26,authorMacBook-Pro,kernel,0,,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],cf7c089cc9b5d9784d43dc7f8befba8d,ARPT: <*>: <*>::platformWoWEnable: WWEN[disable]
5,6,Jul,1,09:03:11,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),ddd0a0892b857fa1dc3cbdd6e05b2c2f,mDNS_DeregisterInterface: Frequent transitions for interface awdl<*> (FE<*>:<*>:<*>)
6,7,Jul,1,09:03:13,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",a6ed00d58b9fc7f020ef14fd7debd563,"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,"
7,8,Jul,1,09:04:33,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096",82f04cc6adda136b7c5d9a62a4934f2d,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>"
8,9,Jul,1,09:04:33,authorMacBook-Pro,kernel,0,,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,c8276cce37226a96dae4fb68fcd2cb0b,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload
9,10,Jul,1,09:04:37,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,2ef1acd4f1d99cbe0771081d18a7a3cc,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
