,EventTemplate,Count
f4ada0a2b8578e3caae3965378c8086d,<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,36
f42dcd96f043a8aada9b704a9ca4b8a0,Thermal pressure state: <*> Memory pressure state: <*>,39
eb85ad079d4c14ef390cecd2e77c1274,FA||Url||taskID[<*>] dealloc,17
af7ebdd3ec888d175ea6fcf3e93af82f,ARPT: <*>: <*>::syncPowerState: WWEN[enabled],12
cf7c089cc9b5d9784d43dc7f8befba8d,ARPT: <*>: <*>::platformWoWEnable: WWEN[disable],16
ddd0a0892b857fa1dc3cbdd6e05b2c2f,mDNS_DeregisterInterface: Frequent transitions for interface awdl<*> (FE<*>:<*>:<*>),2
a6ed00d58b9fc7f020ef14fd7debd563,"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,",7
82f04cc6adda136b7c5d9a62a4934f2d,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",6
c8276cce37226a96dae4fb68fcd2cb0b,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,9
2ef1acd4f1d99cbe0771081d18a7a3cc,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,16
ee60e77d39c85be86bee6080a9ce97a3,<*>AWDLPeerManager::setAwdlAutoMode Resuming AWDL,15
90912ed1af34ba428ea23e1e0ba10e41,"ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",9
dff6d2b20c69c736a38bfd9ccfb753c2,AppleCamIn::systemWakeCall - messageType = <*>,56
046b5fafbfedf6187ab635a48f55c244,"setting hostname to ""author<*>""",5
27e8f3955b1e79c3c6894dcc76f87315,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",165
18868d3c9902a45558fb3c880d0c3a82,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,7
9a91eb9c0258e483d4d60d401a535d1e,[<*>:<*>:<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,3
450dd0d353c95ab7d8e90e756609c54a,AirPort: Link Down on awdl<*> (Unspecified).,7
0a0ef84bed18fe267d9c572d203df52d,"PM response took 2010 ms (<*>, power<*>)",1
0895af4b7705053f8a48b341968f9ec4,"ARPT: <*>: wl0: Roamed or switched channel, reason #<*>, bssid <*>, last RSSI -<*>",2
f09b7e9d28ab2792f9fb47a5a9bd1349,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,15
5c3ce7580372e93bdb6b11db1f1ad185,"<*>AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",11
8274cb777b8449deb279f0b0610ea334,"network_reachability_changed : network is not reachable, netbiosd is shutting down",1
2d0d617f0a239dc2c8a5d59c7cc064e0,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
0e980b97bf24efafde5f745a520773d1,<*>(<*>) deny network-outbound <*>,29
4bc5bb57eb1536fd931a5667623525a4,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>,28
4bc5d64ecbf45b80602cc0e0e86b1feb,AirPort: Link Up on en<*>,4
9238207627df4bee37e89ac359f80651,Sandbox: <*>(<*>) deny(<*>) network-outbound <*>,29
a93ab19c666c655fb08ffbf722495021,ARPT: <*>: <*>::platformWoWEnable: WWEN[enable],12
e3e1e3fb9657014e3390ebf62eaaf892,AirPort: Link Up on awdl<*>,9
a57140449f4e7cf538b0edd7fde7721b,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,22
ff034dffd489f79affd03f4cde9d59de,mDNS_DeregisterInterface: Frequent transitions for interface en0 (<*>),1
3e8c15601953e091acd6d5a3ab375d23,AppleThunderboltNHIType<*>::waitForOk<*> - retries = <*>,11
3df720dc1e57f448839ba00596570f04,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Updated seq<*> from UserClient Seq <*>, Ack <*>, Win size <*>",8
c86d39a1349cf67358d2e7440720ec7c,en0::<*>Interface::postMessage bssid changed,10
0a945237661a592b8c0a065b8ca769af,AppleThunder<*>NHIType<*>::waitFor<*> - intel_rp = <*> dlla_reporting_supported = <*>,6
9f6a276dcff4ef42def1afef0736e117,mDNS_RegisterInterface: Frequent transitions for interface en0 (FE<*>:<*>:<*>:<*>:<*>),3
016decaed806d0961f4abb0d45b7c294,AppleCamIn::wakeEventHandlerThread,20
82a362274d88d43152e44edb95b1f950,"ARPT: <*>: wl0: setup_keepalive: Local port: <*>, Remote port: <*>",8
cf9394b140886dd7f61b9cc8d953c8be,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (<*>) UASuggestedActionType=<*> (<*>)/(<*>) opts=(<*>) when=<*>-<*> confidence=<*> from=(<*>)/(<*>) (UABestAppSuggestionManager<*>),14
86f9b3d4d1eddf7896c12136d23e3c70,en0: channel changed to <*>,20
eba6072ebc2fded77dbb7e0f290f2699,ARPT: <*>: AQM <*> results <*> len hi/lo: <*> BAbitmap(<*>) <*>,7
1f2c8794734dbb336d7cc9876c9210f6,"CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:<*>",14
3b645925953549cb015037a9c128a98f,<*>AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,14
7535333891761cec0a28d9d5a223d48a,Unrecognized attribute value: t:AbchPersonItemType,8
41f0bcf1c38f082e175fe28bab8193c7,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*>.apple.<*> Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",12
37c8aee1f458647ad7f0ad67949186e3,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",2
a40f8ab546ae631d887a03008bbc0087,<*>:<*> : BTLE scanner Powered On,4
5faf7ee1d0f634593a5d1a9b77207a41,button report: <*>,20
95873c5fcccb45d7498b4dba702af3c8,<*> : BTLE discovered device with hash <<*>>,1
884ade5665291c46421b96e007e92a28,"securityd_<*>pc_dictionary_handler cloudd[<*>] copy_matching Error Domain=NSOSStatusErrorDomain Code=-<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",4
ec6b9b1593fe005b9a88f853cfb282c7,Location icon should now be in state 'Inactive',20
3b05ebb24c8a86e856cacc15ead50095,"ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",11
b84885fff9a732cc5dc68e07de38218a,ARPT: <*>: wl0: MDNS: IPV4 Addr: <*>,4
4694502efc4c548dcd8c0592accda026,__<*>-[NETClientConnection evaluate<*>]_block_invoke CI<*> - Hit by torpedo! <*>,8
be6a62218803e1e71e019bbb6f51c889,"Setting BTCoex Config: enable_<*>G:<*>, profile_<*>g:<*>, enable_<*>G:<*>, profile_<*>G:<*>",7
6be17cd3172e387f3beb37e2ff30d00e,Captive: [CNInfoNetworkActive:<*>] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),3
28fc3c11e27be03d81410f10e08ead44,<*>AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,6
209c69a96965cb432599eb60607c6412,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,17
087de08b77cd5434ec2ad5bdc9f38e7f,<*>:<*>:<*> : Finished generating hashes,1
7434df3ce6a88e6f83442d19892fbe80,Captive: CNPluginHandler en0: Evaluating,4
4f92b7bbfab9d608fa3218ea068046c0,"PM response took <*> ms (<*>, power<*>)",7
2538ad1e896a380e8139180825e1abdd,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: [<*>] Network is down,3
039c89345541089d113d0a2f67494037,AirPort: Link Down on en<*> (Disassociated because station leaving).,5
0af63e74b297087d1b776b9bbc183c71,<*> : BTLE scanner Powered On,2
4ec4ecd984272d660b3879cd755eea99,USBMSC Identifier (non-unique): <*>,12
ee8ee29bc276e63e844cee2e5d942ebe,CCXPCService::setStreamEventHandler Registered for notification callback.,2
708d96de8629903f74540c5d6d2d7f67,[<*>:<*>:dns_config_service_posix<*>(<*>)] Failed to read DnsConfig.,4
b8777a99d1ecc74f18ab696df6565660,Saw change in network reachability (isReachable=<*>),4
168c258bb2f605540b250206ea6fecdb,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (<*>),8
3a8476ade00c8f116b0d3bb6f1d3fa48,en0: BSSID changed to <*>,16
fe0771c370fa75a32b1d6986824ce788,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44
f63e1b3fa71b4cae74b1980c95f23133,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,9
899ebdf590a2228301b6ba450a078e66,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Updated seq<*> from UserClient Seq <*>, <*>, Win size <*>",2
