,EventTemplate,Count
ef3b870792127ffdf0de85c7b6c8cf22,"Registered signal handlers for [<*>M, H<*>, <*>]",1
046a60dc9b4faa7a1cec35d6c9d5c780,"Changing view a<*>s to: yarn,<*>",2
97bbd98939e57fa9c1c1686ccee993de,"Changing modify <*>s to: yarn,<*>",2
5b93017af3cec240b67ae55e2cd1d76c,"Security<*>: authentication disabled; <*>s disabled; users with view permissions: Set(<*>, <*>); users with modify permissions: Set(<*>, <*>)",2
c54461a1d6bf7507abce508e20b27e32,S<*>Logger started,1
e99571c6276b8751716ec3df2e35a035,Starting remoting,1
d69bbc6dc5c3744ff6cf53cfe7235a77,Remoting started; listening on addresses :[<*>://<*>],1
52fc11b155244a9100a3e65bba271151,Successfully started service '<*>' on port <*>,2
53233a382070558b38b1b182c9e6f53c,Created local directory at /<*>,1
8a6884fe4bfcb4c732ee467244ba997f,MemoryStore started with capacity <*>,1
7eeaccfbac05626085cc83c2c00e0806,Connecting to driver: spark://<*>,1
5a5c5838e2e0b59541d895181375c548,Successfully registered with driver,1
4dbcba27de5b36835a10265a1b38c2d4,Starting executor ID <*> on host <*>,1
03459f524196ebe688426a8ea5af4296,Server created on <*>,1
17f432d4682a45a1c2de2ee14c4c5d8a,Trying to register BlockManager,1
1c507e444631b18fc9d07eabbd564d4d,Registered BlockManager,1
9ba7fdc2a44212d86d912e5ff1ba8412,Got assigned task <*>,305
bf656f2122b1a3f53849021d65eb1497,Running task <*> in stage <*> (TID <*>),305
6c90e14074344d55c2d2d96535fb2395,Started reading broadcast variable <*>,37
8ba0b3266d76a311254c7235ec37928a,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",112
c0edc03b950d67b3160a93d8b5d8fd3c,Reading broadcast variable <*> took <*> ms,37
7f2b2bec9eb00186570a0a354b85d324,"Block <*> stored as values in memory (estimated size <*>, free <*>)",37
3d6e0eb044c1fd2e5247d5bf04e7ba46,"Partition <*> not found, computing it",75
4bd6264e9ee9d57a40cacb73de3c5678,Input split: hdfs://<*>,45
c1baba9e686e38aaae5b5fd01b099318,"<*>id is deprecated<*> Instead, use <*>red<*>id",1
f76007d03f26bda6ae75662d83e429c8,"map<*>id is deprecated<*> Instead, use mapred<*>id",1
d64ca33d4e628e50ae94fc5a5fb8c431,"<*> is deprecated<*> Instead, use map<*>",1
b0615ca80c23568e93e91609b9139407,"<*>id is deprecated<*> Instead, use mapred<*>id",1
ea7f7bdae7cda247ed75f9a9961e2827,"map<*>partition is deprecated<*> Instead, use mapred<*>partition",1
934239426ef0aafadd18ceb47b9e70d0,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>",375
d43f8414ad7b12072132baef860446b9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,300
d7f242165fa14318c52640bf0031cc21,Found block <*> locally,257
24f60e3d82b1b4627d526de58b9c2a0f,File Output Committer Algorithm version is <*>,30
650b138cdf505c4ec6eea3d34f8a0f25,Saved output of task '<*>' to hdfs://<*>,30
435123dac9bc2b026a5525e2d53c0f7a,<*>: Committed,30
