,EventTemplate,Count
276248324cc8d5a3b1b73048c6531cec,session closed for user <*>,24
22fab53cb1e51dbc597131f22f193599,session opened for user <*> by (uid=<*>),19
37dac4ff9eab98ff6dae622513b06e03,(<*>) CMD (run-parts <*>),14
3ee176f11d08b5dc3caff1e887732fd8,data_thread() got not answer from any [<*>] datasource,819
75133fe6c44a44496de0ba41662dcfe7,"synchronized to <*>, stratum <*>",567
c8da9b2313558537dfc2b263483cbf6b,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,62
1a7e19186e94af9d76874f5f7c6d8433,[ib_sm_sweep.c:<*>]: No topology change,62
8710d3e6a4bb1dac024d9d92b9239c71,[ib_sm_sweep.c:<*>]: No configuration change required,62
880f1546d464d01530ee07a0345c00e5,Local disconnected: Connection closed.,3
f2f7a33e9f4359b83a7d4073344a03b3,connection lost: 'Connection closed.',3
253541cd39f8cad564ecbcd6e0d08bc4,unable to qualify my own domain name (<*>) -- using short name,10
5bda14b1b7cb3e337d1f04e58efcb48d,"<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*> relay<*>@localhost",10
8dd98781b1284923a1ebd7e4bb3189d1,"<*>: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]",10
d00529463cb485742056c44a5e9d391c,DHCPDISCOVER from <*> via eth1,5
3b327ac5f01c8648c26ff6811acab00d,DHCPOFFER on <*> to <*> via eth1,5
774f4b45aa0ee25dad20d404d89966d5,DHCPDISCOVER from <*> via eth1: network A_net: no free leases,15
8956864c14ad3d649cb72805c274377f,DHCPACK on <*> to <*> via eth1,3
fe7d0745ad8095b9636f99defe8494f3,DHCPREQUEST for <*> (<*>) from <*> via eth1,3
04eee795e8fc32d084add201ed1bf9c5,START: tftp pid=<*> from=<*>,1
a82970ae435e947728de3f7b488f3557,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.,9
2a2a75f19496f97a956444d57acfb77e,RRD_update <*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),11
97e54efd39dd0484113831efa15c8728,kernel time sync disabled <*>,1
e16fbcc6b71f30fbe332271aea9ca64c,time reset +<*>,1
4f67b71e9ebfa9322458eb35923dfbf5,Received SNMP packet(s) from <*>,1
5fae3f9bb933b788f95bbde0e6a41eed,"synchronized to LOCAL(<*>), stratum <*>",1
b909c55d0b4ae6830ca47c4e25852f3b,kernel time sync enabled <*>,1
a0b18935ae11da4c6eed63bc0cc1bf1b,(<*>) CMD <*>),5
eb8ff4713f25829d73ba66270797c8ca,My unqualified host name (<*>) unknown; sleeping for retry,5
421a52d226e81c467cf02e1706697b33,CentOS<*> (Kernel Module GPG key),1
24bef57c4825998df88a6f1c66dd21d8,(supports <*>),1
492e66c42750b400dea8ade997ef5382,DSDT (<*> DELL PE <*>) @ <*>,1
99058f6083b87d6e0c034bb78d706b34,FADT (<*> DELL PE <*>) @ <*>,1
580be8d1dc6413f660266dd94a2f6130,HPET (<*> DELL PE <*>) @ <*>,1
0c06938fefed35995dd3ef36b344e095,HPET id: <*> base: <*>,1
188abed83fbc247ceb86cfe2a898c8fe,<*>_SRC_<*>R (bus <*> bus_irq <*>_irq <*>),1
e02080e44ed97bb5e3cb0e3d4e21ed13,INT_SRC_OVR (bus <*> bus_irq <*>_irq <*> high level),1
d11fca4f75c9f90b95182312be39cebc,IOAPIC (id[<*>] address[<*>] gsi_base[<*>]),3
c033c8efe3d3b6125ed1f52f8a21f83f,IRQ<*> used by override.,2
b9228d7abeb9607d244458a1a1239505,IRQ2 used by override.,1
2188fc64cb8e2af97c658f0e7a4a95c5,Interpreter enabled,1
8d8aa548caed649903c48a752080803e,LAPIC (acpi_id[<*>] <*>_id[<*>] enabled),4
98d58a93225b7a45b32f7017ee05500d,LAPIC_<*>MI (acpi_id[<*>] high edge lint[<*>]),4
7f47bdfadc9c9c44b597b8e9e24e5336,Local APIC address <*>,1
f9808f76f00ca9104eb99107afd762b4,MADT (<*> DELL PE <*>) @ <*>,1
49f50ad409c3678475e72633a6148b73,MCFG (<*> DELL PE <*>) @ <*>,1
2584a47516783612aa0b2661f123cff9,PCI Interrupt Link [<*>] (<*>Qs <*>) *<*>,2
d28ddf09cc600dff95925690c26fe560,PCI Interrupt Link [<*>] (<*>Qs <*>),1
54c244f5f3d5c8c2bcc6509774d142d1,"PCI Interrupt Link [<*>] (<*>Qs <*>) *<*>, disabled.",5
215c7299484823761b72712e029eeed7,PCI Interrupt Routing Table [<*>],10
