,EventTemplate,Count
fa326503b5cd4b7866a96619953a0ade,Loaded Servicing Stack <*> with Core: <*>.dll,2
463c9619b333ea46d43f3b862cedcb1d,<*>@<*>/<*>/<*>:<*>:<*>:<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),6
2d8b5399455f907fb95d68f575490e51,Ending TrustedInstaller initialization.,2
ddb7024583a5dc50b27d2b8c288e98c0,Starting the TrustedInstaller main loop.,2
70236f55ac264429aafcca9c3e139de0,TrustedInstaller service starts successfully.,2
492269e4d829033f610a40c8b72f7620,SQM: Initializing online with Windows opt-in: False,2
88c7a286173b613ff5ed403240c81aba,SQM: Cleaning up report files older than 10 days.,2
7e5b16175b8fed069f9726171b76478f,SQM: Requesting upload of all unsent reports.,2
a6900023f491e9b71f77d99de43e9535,"SQM: Failed to start upload with file pattern: <*>:\<*>sqm, flags: <*> [HRESULT = <*> - E_FAIL]",2
ef6d06df43356ad917e9136ec3877b98,SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL],2
35fa2e8b7b7b032ad3fbb2f4fc51b6ba,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>",2
545e1d3e22728fbc033c97a603fad6ea,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL],2
6342ae857bca51af087b6281e9ea056c,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
b756d24a13e42aa3b93c5220a4bc5b78,NonStart: Checking to ensure startup processing was not required.,2
c54c543f65949f1915e619768b231c4b,"<*> I<*>Install<*>AwareStore<*>ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, <*>Disposition = <*>",1
6d4567fc855715543c8ba3d90c0e9a9e,"<*> Creating NT transaction (seq <*>), objectname [<*>]<*>)""",3
9d46d5b041dd1b0e341e9b0c5c7e9326,"<*> Created NT transaction (seq <*>) result <*>, handle @<*>",3
0d5fb9ff3ad145f4df56eeda75ef2085,<*> CSI perf trace:,3
c7e0e0821cd59388edd0248e9e93a00e,"NonStart: Success, startup processing not required as expected.",2
0249909fac08434afb035714b0ad3e0b,Startup processing thread terminated normally,2
0a16f43547e86810ffa61863c1eb55d3,<*> CSI Store <*> (<*>) initialized,3
08fb5d73c849446d7ae9bb100902c945,Session: <*> initialized by client WindowsUpdateAgent.,608
39b783c847142143dfe229135128cc25,Warning: Unrecognized packageExtended attribute.,280
9bd9f24365217745a340d3cb5ad1e0c2,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],224
0044564b80473f3111f8ab54ec040c51,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],224
4153f60863d099f7f5d7c89313037d7b,Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE],18
