,EventTemplate,Count
286299e2bc59d95bb243621caf5e224c,Notification time out: <*>,37
ede6f3483ae94350fb57e7619f3c20bb,Received connection request <*>:<*>,299
7a2ec7d07d45071f010571c6870b4267,Send worker leaving thread,262
45a3ec5dc709f110e4afdf68bebb7c84,Interrupted while waiting for message on queue,314
d91560a0f3df7d9342c3cc2858341eb6,"Connection broken for id <*>, my id = <*>, error =",291
273e53f27027b46b34b1d03e872cb2be,Interrupting SendWorker,266
b59343d8020cd5194e7b9140ba35d667,Closed socket connection for client <*>:<*> which had sessionid <*>,44
ecefe136e0e87cbb95dd1fc4fcd0ebd0,caught end of stream exception,37
63d3bf75b9159b2dd0294723310a2815,Client attempting to renew session <*> at <*>:<*>,3
cebc51ff5a32c07ab88e1e6dfbdcbc5f,Client attempting to establish new session at <*>:<*>,41
16c0319213700741f71d4d3104893250,Established session <*> with negotiated timeout <*> for client <*>:<*>,50
be83b634b14c9c01cf25d91195a67f72,Accepted socket connection from <*>:<*>,48
63d9783eb94c381ac05279701fadf8fd,Unexpected Exception:,1
d3aa79fe4fb49d25d90956eff36d0f30,Connection request from old client <*>:<*>; will be dropped if server is in r-o mode,39
eeb38d12a1c07663bdb31f166bec6c9d,Server environment:user.dir=/,1
7cb9bc89b41188bf4e6dbb3e110b1545,Cannot open channel to <*> at election address <*>:<*>,86
61a003eaff8a8c8a0d687776cadd2cbc,Processed session termination for sessionid: <*>,47
5c6297d78cf5a636fb5615518b870444,"Expiring session <*>, timeout of <*> exceeded",40
be5e3314ac993d044969c435389a0094,******* GOODBYE <*>:<*> ********,19
00078e14aba0c8332d734272a0860b29,LOOKING,4
4f5724a28a6b20045839861550507255,My election bind port: <*>:<*>,1
0d395a72a27a373897fab786bf7724a0,"Have smaller server identifier, so dropping the connection: (<*>, <*>)",1
c172d52647d4fd6f81a2c3110d150c6a,FOLLOWING,2
0aad99caa32a5a04143486dad1687504,"New election. My id = <*>, proposed zxid=<*>",1
3bc848bf5333ddfe3e04f303986737d5,Server environment:host.name=mesos<*>master<*>,1
1cd553c5a9d5d5a55bdfe1e9aadb8915,FOLLOWING - LEADER ELECTION TOOK <*>,1
007635cab1dcb7087672b7279746e64d,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LEADING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)",1
a123717112578270e3543136585fdd6c,FOLLOWING - LEADER ELECTION TOOK - <*>,1
e43b00c95565cbc5cef4642e846f8fc9,autopurge.snapRetainCount set to <*>,1
d961f4e81cfa2d05dfbb1a30fda0bece,Server environment:java.vendor=Oracle Corporation,2
1caefedbe0a6d18b7587a4eef31fd976,Revalidating client: <*>,3
ead836d4b8f668adeec8af9a78a927b1,"Server environment:zookeeper.version<*>, built on <*>:<*> GMT",1
17644875ccb60e8815872a3d5d50ff9e,Server environment:user.name=zookeeper,2
467d31ff742ed65b55a8d81f8f8d7bf0,Server environment:os.name=Linux,2
9f859632e14037814b21bca6a18dd67a,Closed socket connection for client <*>:<*> (no session established for client),4
2929a081083c451ca2f332edcf9ea7a6,Exception causing close of session <*> due to java<*>IOException: ZooKeeperServer not running,3
b071c18883cc82e1c5592f91bc85e3d4,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)",5
3b886e95ad5c9c927ad761ae87068bf1,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)",1
5ccf70962af1c7b7ac50b394ce47cb28,tickTime set to <*>,1
0cf470644f8ed2d75788824c7e85789b,Unexpected exception causing shutdown while sock still open,12
6fec4e1dcb127448b322fee971213da4,Got user-level KeeperException when processing sessionid:<*> type:create cxid:<*>xid:<*> txntype:-<*> reqpath:<*> Error Path:/home/curi/.zookeeper Error:KeeperErrorCode = NodeExists for /home/curi/.zookeeper,1
f80fb822e9230aa239f600fa29677b43,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LEADING (my state)",3
d459c04c294fcd128d8224d8e9380761,Starting quorum peer,1
bff1de458ac43e6ac8544778dbfecaf7,Snapshotting: <*> to <*>/<*>/zookeeper/<*>snapshot<*>,2
bde42fae8bd6037c15f161d693e9dd74,autopurge.purgeInterval set to <*>,3
f3ab14acfbd023fbcaffffa99c9d3027,Follower sid: <*> : info : <*>apache<*>zookeeper<*>server<*>quorum<*>QuorumPeer<*>QuorumServer<*>,1
a90857617d720e7698caa591c203e68f,maxSessionTimeout set to <*>,1
2d9fa7051c603e1f3fa1b8555c227892,Server environment:java.class.path=/<*>/zookeeper/conf:/usr/share/java/jline.jar:/usr/share/java/log<*>.jar:/usr/share/java/xercesImpl.jar:/usr/share/java/xmlParserAPIs.jar:/usr/share/java/netty.jar:/usr/share/java/s<*>j-api.jar:/usr/share/java/s<*>.jar:/usr/share/java/zookeeper.jar,1
4d52daa2d7c423d61f37437db4cd02fb,Have quorum of supporters; starting up and setting last processed zxid: <*>,1
eb7a73285a9a9deeefc5b70ea20ca740,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), FOLLOWING (n.state), <*> (n.sid), <*> (n.peerEPoch), LEADING (my state)",1
c7ef5ae9d35628d6702dcf017c5b168d,shutdown of request processor complete,1
22ee3efbef4be55c54ad9f2bdd068717,First is <*>,1
c3ac691fbf03cf263d321b184f0ca086,Reading snapshot /<*>/<*>/zookeeper/<*>snapshot<*>,1
9d86801d5222a9d0274962fbd1514a35,Sending DIFF,1
4c5926a1b79520ef41a4ea04ea8d026f,Getting a snapshot from leader,2
3b9f77c5a5687f4d8971a39c2850c71f,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), FOLLOWING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)",1
08b832eb9b4ab1e19f6699d98f408517,minSessionTimeout set to <*>,2
9ae52f9584885ba8972f9ba64546f753,Server environment:java.home<*>/<*>/jvm/java<*>openjdk<*>amd<*>/j<*>,1
